course_name,category,level,description,curriculum,intakes,duration,career_prospect,estimated_course_fees,entry_requirements
Master of Science in Physics,"Science, Physics",Postgraduate (Master's),"This program provides advanced knowledge in physics, focusing on research and development in areas such as quantum physics, astrophysics, and condensed matter physics. Students will complete a research thesis.","The curriculum includes Advanced Quantum Physics, Astrophysics, Condensed Matter Physics, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Physicist, Research Scientist, Data Analyst, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Physics,"Science, Physics",Diploma,"This diploma provides foundational knowledge in physics, focusing on physical principles and applications. Students will gain practical experience through lab work.","The program includes Mechanics, Thermodynamics, Quantum Physics, and Electromagnetism. Students will complete a lab project in their final year.","January, April",2 years,"Laboratory Technician, Research Assistant, Data Analyst, Physics Technician","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Physics; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Mathematics,"Science, Mathematics",Undergraduate (Degree),"This program focuses on the study of mathematical principles, including algebra, calculus, and statistics. Students will develop analytical and problem-solving skills through coursework and projects.","The curriculum includes Algebra, Calculus, Statistics, and Mathematical Modeling. Students will complete a research project in their final year.","January, September",3 years,"Mathematician, Data Analyst, Statistician, Academic Researcher","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics."
Master of Science in Mathematics,"Science, Mathematics",Postgraduate (Master's),"This program provides advanced knowledge in mathematics, focusing on research and development in areas such as algebra, calculus, and statistics. Students will complete a research thesis.","The curriculum includes Advanced Algebra, Calculus, Statistics, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Mathematician, Data Analyst, Statistician, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Mathematics,"Science, Mathematics",Diploma,"This diploma provides foundational knowledge in mathematics, focusing on algebra, calculus, and statistics. Students will develop analytical and problem-solving skills through coursework.","The program includes Algebra, Calculus, Statistics, and Mathematical Modeling. Students will complete a research project in their final year.","January, April",2 years,"Mathematics Tutor, Data Analyst, Research Assistant, Statistician","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Biology,"Science, Biology",Undergraduate (Degree),"This program focuses on the study of biological systems, including genetics, ecology, and microbiology. Students will gain practical experience through lab work and research projects.","The curriculum includes Genetics, Ecology, Microbiology, and Molecular Biology. Students will complete a research project in their final year.","January, September",3 years,"Biologist, Research Scientist, Environmental Consultant, Academic Researcher","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Biology."
Master of Science in Biology,"Science, Biology",Postgraduate (Master's),"This program provides advanced knowledge in biology, focusing on research and development in areas such as genetics, ecology, and microbiology. Students will complete a research thesis.","The curriculum includes Advanced Genetics, Ecology, Microbiology, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Biologist, Research Scientist, Environmental Consultant, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Biology,"Science, Biology",Diploma,"This diploma provides foundational knowledge in biology, focusing on biological systems and applications. Students will gain practical experience through lab work.","The program includes Genetics, Ecology, Microbiology, and Molecular Biology. Students will complete a lab project in their final year.","January, April",2 years,"Laboratory Technician, Research Assistant, Environmental Technician, Biology Tutor","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Biology; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Geology,"Science, Geology",Undergraduate (Degree),"This program focuses on the study of Earth's physical structure, processes, and history. Students will gain practical experience through fieldwork and research projects.","The curriculum includes Mineralogy, Petrology, Structural Geology, and Geophysics. Students will complete a research project in their final year.","January, September",3 years,"Geologist, Environmental Consultant, Mining Engineer, Academic Researcher","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Geography."
Master of Science in Geology,"Science, Geology",Postgraduate (Master's),"This program provides advanced knowledge in geology, focusing on research and development in areas such as mineralogy, petrology, and geophysics. Students will complete a research thesis.","The curriculum includes Advanced Mineralogy, Petrology, Geophysics, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Geologist, Environmental Consultant, Mining Engineer, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Geology,"Science, Geology",Diploma,"This diploma provides foundational knowledge in geology, focusing on Earth's physical structure and processes. Students will gain practical experience through fieldwork.","The program includes Mineralogy, Petrology, Structural Geology, and Geophysics. Students will complete a fieldwork project in their final year.","January, April",2 years,"Geology Technician, Environmental Technician, Research Assistant, Mining Technician","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Geography; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Marine Science,"Science, Marine Science",Undergraduate (Degree),"This program focuses on the study of marine ecosystems, oceanography, and marine conservation. Students will gain practical experience through fieldwork and research projects.","The curriculum includes Marine Ecology, Oceanography, Marine Conservation, and Marine Biology. Students will complete a research project in their final year.","January, September",3 years,"Marine Scientist, Oceanographer, Environmental Consultant, Academic Researcher","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Biology."
Master of Science in Marine Science,"Science, Marine Science",Postgraduate (Master's),"This program provides advanced knowledge in marine science, focusing on research and development in areas such as marine ecology, oceanography, and marine conservation. Students will complete a research thesis.","The curriculum includes Advanced Marine Ecology, Oceanography, Marine Conservation, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Marine Scientist, Oceanographer, Environmental Consultant, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Marine Science,"Science, Marine Science",Diploma,"This diploma provides foundational knowledge in marine science, focusing on marine ecosystems and oceanography. Students will gain practical experience through fieldwork.","The program includes Marine Ecology, Oceanography, Marine Conservation, and Marine Biology. Students will complete a fieldwork project in their final year.","January, April",2 years,"Marine Technician, Environmental Technician, Research Assistant, Oceanography Technician","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Biology; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Astronomy,"Science, Astronomy",Undergraduate (Degree),"This program focuses on the study of celestial objects, space, and the universe. Students will gain practical experience through observational astronomy and research projects.","The curriculum includes Astrophysics, Planetary Science, Cosmology, and Observational Astronomy. Students will complete a research project in their final year.","January, September",3 years,"Astronomer, Research Scientist, Data Analyst, Academic Researcher","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Physics."
Master of Science in Astronomy,"Science, Astronomy",Postgraduate (Master's),"This program provides advanced knowledge in astronomy, focusing on research and development in areas such as astrophysics, planetary science, and cosmology. Students will complete a research thesis.","The curriculum includes Advanced Astrophysics, Planetary Science, Cosmology, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Astronomer, Research Scientist, Data Analyst, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Astronomy,"Science, Astronomy",Diploma,"This diploma provides foundational knowledge in astronomy, focusing on celestial objects and space. Students will gain practical experience through observational astronomy.","The program includes Astrophysics, Planetary Science, Cosmology, and Observational Astronomy. Students will complete an observational project in their final year.","January, April",2 years,"Astronomy Technician, Research Assistant, Data Analyst, Observatory Technician","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Physics; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Meteorology,"Science, Meteorology",Undergraduate (Degree),"This program focuses on the study of weather patterns, climate, and atmospheric processes. Students will gain practical experience through fieldwork and research projects.","The curriculum includes Atmospheric Science, Climate Change, Weather Forecasting, and Meteorology. Students will complete a research project in their final year.","January, September",3 years,"Meteorologist, Climate Scientist, Environmental Consultant, Academic Researcher","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Physics."
Master of Science in Meteorology,"Science, Meteorology",Postgraduate (Master's),"This program provides advanced knowledge in meteorology, focusing on research and development in areas such as atmospheric science, climate change, and weather forecasting. Students will complete a research thesis.","The curriculum includes Advanced Atmospheric Science, Climate Change, Weather Forecasting, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Meteorologist, Climate Scientist, Environmental Consultant, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Meteorology,"Science, Meteorology",Diploma,"This diploma provides foundational knowledge in meteorology, focusing on weather patterns and atmospheric processes. Students will gain practical experience through fieldwork.","The program includes Atmospheric Science, Climate Change, Weather Forecasting, and Meteorology. Students will complete a fieldwork project in their final year.","January, April",2 years,"Meteorology Technician, Research Assistant, Environmental Technician, Weather Analyst","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Physics; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Forensic Science,"Science, Forensic Science",Undergraduate (Degree),"This program focuses on the application of scientific principles in criminal investigations. Students will gain practical experience through lab work and case studies.","The curriculum includes Forensic Biology, Forensic Chemistry, Crime Scene Investigation, and Forensic Toxicology. Students will complete a research project in their final year.","January, September",3 years,"Forensic Scientist, Crime Scene Investigator, Forensic Analyst, Academic Researcher","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Biology and Chemistry."
Master of Science in Forensic Science,"Science, Forensic Science",Postgraduate (Master's),"This program provides advanced knowledge in forensic science, focusing on research and development in areas such as forensic biology, forensic chemistry, and crime scene investigation. Students will complete a research thesis.","The curriculum includes Advanced Forensic Biology, Forensic Chemistry, Crime Scene Investigation, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Forensic Scientist, Crime Scene Investigator, Forensic Analyst, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Forensic Science,"Science, Forensic Science",Diploma,"This diploma provides foundational knowledge in forensic science, focusing on criminal investigations and forensic techniques. Students will gain practical experience through lab work.","The program includes Forensic Biology, Forensic Chemistry, Crime Scene Investigation, and Forensic Toxicology. Students will complete a lab project in their final year.","January, April",2 years,"Forensic Technician, Crime Scene Technician, Research Assistant, Forensic Analyst","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Biology and Chemistry; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Biomedical Science,"Science, Biomedical Science",Undergraduate (Degree),"This program focuses on the study of human health and disease, including genetics, immunology, and pathology. Students will gain practical experience through lab work and research projects.","The curriculum includes Genetics, Immunology, Pathology, and Biomedical Research. Students will complete a research project in their final year.","January, September",3 years,"Biomedical Scientist, Research Scientist, Medical Laboratory Technologist, Academic Researcher","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Biology and Chemistry."
Master of Science in Biomedical Science,"Science, Biomedical Science",Postgraduate (Master's),"This program provides advanced knowledge in biomedical science, focusing on research and development in areas such as genetics, immunology, and pathology. Students will complete a research thesis.","The curriculum includes Advanced Genetics, Immunology, Pathology, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Biomedical Scientist, Research Scientist, Medical Laboratory Technologist, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Biomedical Science,"Science, Biomedical Science",Diploma,"This diploma provides foundational knowledge in biomedical science, focusing on human health and disease. Students will gain practical experience through lab work.","The program includes Genetics, Immunology, Pathology, and Biomedical Research. Students will complete a lab project in their final year.","January, April",2 years,"Biomedical Technician, Research Assistant, Medical Laboratory Technician, Biomedical Analyst","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Biology and Chemistry; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Environmental Management,"Science, Environmental Management",Undergraduate (Degree),"This program focuses on the management of environmental resources, sustainability, and conservation. Students will gain practical experience through fieldwork and research projects.","The curriculum includes Environmental Policy, Sustainability, Conservation Biology, and Environmental Management. Students will complete a research project in their final year.","January, September",3 years,"Environmental Manager, Sustainability Consultant, Conservationist, Academic Researcher","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Biology."
Master of Science in Environmental Management,"Science, Environmental Management",Postgraduate (Master's),"This program provides advanced knowledge in environmental management, focusing on research and development in areas such as sustainability, conservation, and environmental policy. Students will complete a research thesis.","The curriculum includes Advanced Environmental Policy, Sustainability, Conservation Biology, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Environmental Manager, Sustainability Consultant, Conservationist, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Environmental Management,"Science, Environmental Management",Diploma,"This diploma provides foundational knowledge in environmental management, focusing on sustainability and conservation. Students will gain practical experience through fieldwork.","The program includes Environmental Policy, Sustainability, Conservation Biology, and Environmental Management. Students will complete a fieldwork project in their final year.","January, April",2 years,"Environmental Technician, Sustainability Assistant, Conservation Assistant, Research Assistant","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Biology; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Renewable Energy,"Science, Renewable Energy",Undergraduate (Degree),"This program focuses on the study of renewable energy sources, including solar, wind, and hydro energy. Students will gain practical experience through lab work and research projects.","The curriculum includes Solar Energy, Wind Energy, Hydro Energy, and Renewable Energy Systems. Students will complete a research project in their final year.","January, September",3 years,"Renewable Energy Engineer, Energy Consultant, Research Scientist, Academic Researcher","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Physics."
Master of Science in Renewable Energy,"Science, Renewable Energy",Postgraduate (Master's),"This program provides advanced knowledge in renewable energy, focusing on research and development in areas such as solar, wind, and hydro energy. Students will complete a research thesis.","The curriculum includes Advanced Solar Energy, Wind Energy, Hydro Energy, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Renewable Energy Engineer, Energy Consultant, Research Scientist, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Renewable Energy,"Science, Renewable Energy",Diploma,"This diploma provides foundational knowledge in renewable energy, focusing on solar, wind, and hydro energy. Students will gain practical experience through lab work.","The program includes Solar Energy, Wind Energy, Hydro Energy, and Renewable Energy Systems. Students will complete a lab project in their final year.","January, April",2 years,"Renewable Energy Technician, Research Assistant, Energy Analyst, Sustainability Assistant","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Physics; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Nanotechnology,"Science, Nanotechnology",Undergraduate (Degree),"This program focuses on the study of nanotechnology, including nanomaterials, nanodevices, and nanomedicine. Students will gain practical experience through lab work and research projects.","The curriculum includes Nanomaterials, Nanodevices, Nanomedicine, and Nanotechnology Applications. Students will complete a research project in their final year.","January, September",3 years,"Nanotechnologist, Research Scientist, Materials Engineer, Academic Researcher","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Chemistry and Physics."
Master of Science in Nanotechnology,"Science, Nanotechnology",Postgraduate (Master's),"This program provides advanced knowledge in nanotechnology, focusing on research and development in areas such as nanomaterials, nanodevices, and nanomedicine. Students will complete a research thesis.","The curriculum includes Advanced Nanomaterials, Nanodevices, Nanomedicine, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Nanotechnologist, Research Scientist, Materials Engineer, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Nanotechnology,"Science, Nanotechnology",Diploma,"This diploma provides foundational knowledge in nanotechnology, focusing on nanomaterials and nanodevices. Students will gain practical experience through lab work.","The program includes Nanomaterials, Nanodevices, Nanomedicine, and Nanotechnology Applications. Students will complete a lab project in their final year.","January, April",2 years,"Nanotechnology Technician, Research Assistant, Materials Technician, Nanotechnology Analyst","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Chemistry and Physics; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Robotics,"Science, Robotics",Undergraduate (Degree),"This program focuses on the study of robotics, including robot design, artificial intelligence, and automation. Students will gain practical experience through lab work and research projects.","The curriculum includes Robot Design, Artificial Intelligence, Automation, and Robotics Applications. Students will complete a research project in their final year.","January, September",3 years,"Robotics Engineer, AI Specialist, Automation Engineer, Academic Researcher","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics and Physics."
Master of Science in Robotics,"Science, Robotics",Postgraduate (Master's),"This program provides advanced knowledge in robotics, focusing on research and development in areas such as robot design, artificial intelligence, and automation. Students will complete a research thesis.","The curriculum includes Advanced Robot Design, Artificial Intelligence, Automation, and Research Methods. Students will complete a research thesis.","February, July",1 year,"Robotics Engineer, AI Specialist, Automation Engineer, Academic Researcher","RM55,000 for Malaysian students and USD13,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Robotics,"Science, Robotics",Diploma,"This diploma provides foundational knowledge in robotics, focusing on robot design and automation. Students will gain practical experience through lab work.","The program includes Robot Design, Artificial Intelligence, Automation, and Robotics Applications. Students will complete a lab project in their final year.","January, April",2 years,"Robotics Technician, Research Assistant, Automation Technician, Robotics Analyst","RM30,000 for Malaysian students and USD7,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics and Physics; UEC: Pass with minimum 3 Grade Cs."
Bachelor of Science (Hons) in Aerospace Engineering,"Engineering, Aerospace Engineering",Undergraduate (Degree),"This program focuses on the study of aerospace systems, including aircraft and spacecraft design. Students will gain practical experience through lab work and research projects.","The curriculum includes Aerodynamics, Aircraft Design, Spacecraft Design, and Aerospace Systems. Students will complete a research project in their final year.","January, September",3 years,"Aerospace Engineer, Aircraft Designer, Spacecraft Engineer, Academic Researcher","RM42,000 for Malaysian students and USD10,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics and Physics."
